add_date,year,month,day,day_of_week,asset_code,asset_id,material,general_location,install_date,land_id,cluster
2013-09-24 2:51,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2745,2
2013-09-24 21:31,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,15282,2
2013-09-24 21:32,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2741,2
2013-09-24 1:46,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-24 1:47,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-24 1:48,2013,9,24,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3235,2
2013-09-12 15:41,2013,9,12,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2235,3
2013-09-16 0:05,2013,9,16,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3232,2
2013-09-17 12:00,2013,9,17,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3037,2
2013-09-23 10:53,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,63,2
2013-09-23 10:54,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,63,2
2013-09-05 8:54,2013,9,5,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,14985,3
2013-09-05 8:55,2013,9,5,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,14985,3
2013-09-23 10:52,2013,9,23,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,63,2
2013-09-27 21:48,2013,9,27,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,2760,1
2013-09-30 12:55,2013,9,30,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3239,2
2013-07-03 9:59,2013,7,3,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1726,3
2013-07-04 11:30,2013,7,4,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1684,3
2013-07-04 11:31,2013,7,4,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1684,3
2013-07-08 10:25,2013,7,8,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1695,2
2013-07-08 10:26,2013,7,8,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1695,2
2013-07-08 10:27,2013,7,8,1,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1695,2
2013-07-09 9:51,2013,7,9,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1761,2
2013-07-09 11:09,2013,7,9,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1738,2
2013-07-09 11:10,2013,7,9,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1738,2
2013-07-17 12:00,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1826,2
2013-07-17 12:01,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1826,2
2013-07-17 13:37,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1823,2
2013-07-18 8:47,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1954,2
2013-07-18 8:48,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1954,2
2013-07-17 10:14,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1804,2
2013-07-17 10:15,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1804,2
2013-07-17 10:16,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1805,2
2013-07-17 12:06,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1826,2
2013-07-18 9:39,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1944,2
2013-07-18 9:42,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1944,2
2013-07-18 9:43,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1944,2
2013-07-18 9:44,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1944,2
2013-07-18 11:01,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1939,2
2013-07-18 11:02,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1939,2
2013-07-18 12:04,2013,7,18,4,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1927,2
2013-07-16 8:48,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1746,2
2013-07-16 8:49,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1746,2
2013-07-17 12:08,2013,7,17,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1826,2
2013-07-03 9:58,2013,7,3,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1726,3
2013-07-03 10:00,2013,7,3,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1726,3
2013-07-03 10:01,2013,7,3,3,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1726,3
2013-07-05 8:46,2013,7,5,5,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,3404,3
2013-07-16 11:42,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1426,2
2013-07-16 11:43,2013,7,16,2,BBH,RPNT1014,METL,OSP,1900-01-00 0:00,1426,2
