Add Date,Year,Month,Day,DayOfWeek,Asset Code,Asset ID,Material,General Location,Install Date,Land ID
2013-09-12 14:50:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2326
2013-09-12 15:19:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2235
2013-09-16 13:19:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,3224
2013-09-16 13:20:00,1899,12,30,2,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,3224
2013-09-16 13:20:00,1899,12,30,2,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,3224
2013-09-16 13:21:00,1899,12,30,2,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,3224
2013-09-16 13:22:00,1899,12,30,2,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,3224
2013-09-16 13:24:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3224
2013-09-17 12:00:00,1899,12,30,3,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,3037
2013-07-04 09:28:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1683
2013-07-04 11:33:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1684
2013-09-23 10:53:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,63
2013-09-23 10:53:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,63
2013-09-23 10:54:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,63
2013-09-30 11:52:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2571
2013-10-04 08:50:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2524
2013-10-04 08:51:00,1899,12,30,6,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,2524
2013-10-04 09:07:00,1899,12,30,6,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,2523
2013-10-10 12:50:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,763
2013-10-10 12:50:00,1899,12,30,5,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,763
2013-10-10 12:51:00,1899,12,30,5,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,763
2013-10-10 12:51:00,1899,12,30,5,TETO,RPNT1062,METL,OSP,1899-12-30 00:00:00,763
2013-10-10 12:52:00,1899,12,30,5,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,763
2013-11-28 09:40:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3229
2013-11-28 09:40:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3229
2013-11-28 09:41:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3229
2013-11-28 09:50:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3229
2013-08-07 08:09:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,801
2013-08-07 08:12:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,801
2013-08-08 10:26:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,861
2013-08-13 13:14:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,651
2013-08-21 11:55:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,623
2013-08-22 11:02:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,691
2013-08-22 11:03:00,1899,12,30,5,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,691
2013-08-19 11:48:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,440
2013-08-19 11:59:00,1899,12,30,2,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,440
2013-08-20 13:08:00,1899,12,30,3,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,379
2013-08-21 12:47:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,467
2013-08-21 12:47:00,1899,12,30,4,SLID,RPNT1016,METL,OSP,1899-12-30 00:00:00,467
2013-08-21 09:35:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,318
2013-08-21 09:50:00,1899,12,30,4,THP,RPNT1065,METL,OSP,1899-12-30 00:00:00,318
2013-08-21 11:39:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,455
2013-08-21 12:46:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,467
2013-08-21 12:49:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,467
2013-08-22 11:21:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,191
2013-08-28 12:32:00,1899,12,30,4,THP,RPNT1065,METL,OSP,1899-12-30 00:00:00,2061
2013-08-28 12:35:00,1899,12,30,4,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,2061
2013-07-04 09:49:00,1899,12,30,5,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,1683
2013-08-26 09:42:00,1899,12,30,2,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,764
2013-08-26 09:45:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,764
2013-08-26 14:03:00,1899,12,30,2,SWNG,RPNT1009,METL,OSP,1899-12-30 00:00:00,3392
2013-08-26 14:30:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,976
2013-08-26 14:30:00,1899,12,30,2,BBH,RPNT1014,METL,OSP,1899-12-30 00:00:00,976
2013-07-04 10:59:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1684
2013-07-04 11:00:00,1899,12,30,5,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,1684
2013-08-28 10:01:00,1899,12,30,4,CLIM,RPNT1022,METL,OSP,1899-12-30 00:00:00,498
2013-08-28 10:03:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,498
2013-08-28 10:42:00,1899,12,30,4,PYST,RPNT1000,METL,OSP,1899-12-30 00:00:00,3394
